Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_3,Q10,Q11_1211,Q11_211,Q11_3211,Q11_4211,Q11_5211,Q11_6211,Q11_7211,Q11_8211,Q11_9211,Q11_10211,Q11_11211,Q11_12211,Q11_13211,Q11_14211,Q11_15211,Q11_16211,Q11_17211,Q11_18211,Q11_19211,Q11_20211,Q11_21211,Q11_22211,Q11_23211,Q11_24211,Q11_25211,Q11_26211,Q11_27211,Q11_9999,Q11_999211,Q12,Q13,Q14,Q15,Q16235,Q17_1214,Q17_2214,Q17_3214,Q17_4214,Q17_5214,Q17_6214,Q17_7214,Q17_8214,Q17_9214,Q17_10214,Q17_11214,Q17_12214,Q17_13214,Q17_14214,Q17_15214,Q17_16214,Q17_17214,Q17_18214,Q17_19214,Q17_20214,Q17_999214,Q18_1215,Q18_2215,Q18_3215,Q18_4215,Q18_5215,Q18_6215,Q18_7215,Q18_8215,Q18_9215,Q18_10215,Q18_11215,Q18_12215,Q18_13215,Q18_14215,Q18_15215,Q18_16215,Q18_17215,Q18_18215,Q18_19215,Q18_20215,Q18_21215,Q18_22215,Q18_23215,Q18_24215,Q18_25215,Q18_26215,Q18_27215,Q18_28215,Q18_29215,Q18_30215,Q18_31215,Q18_9999,Q18_999215,Q_104223,Q_116225,Q_113_1224,Q_105221,Q_115222,Q_101218,Q_887226,Q_114220,Q_886216,Q_103217,Q_112_1219,Q_1087236,Q_111213,Q_112212,Q23241,Q24_1240,Q24_2240,Q24_3240,Q24_4240,Q24_5240,Q24_6240,Q25_1243,Q25_2244,Q25_3255,Q25_4248,Q25_5252,Q25_6249,Q25_7254,Q25_8242,Q25_9253,Q25_1256,Q25_11257,Q25_12247,Q25_13246,Q25_14245,Q25_15258,Q25_16251,Q25_1725,Q27,Q28201,Q29,Q30207,Q31202,Q_358,Q_359,Q70_regions,Q28_regions208,Q_euro,Industry_bundlednew203,Q12discrete,Q12_compsize,Q12_GROUP205,Q13_discrete204,Q13Q12sing,Q13Q12206,Q_3_bundled210,Q30_bundled,Q14_discrete237,Q15_discrete238
Asia and Pacific,Israel,Less than 150,Services,Business,Amazon RedShift,Amazon RedShift,1.0.37176,Scalability,,,Innovative strength of the vendor,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,,Ease of use for technical users,,Integration into existing IT operations,,,,,,,,,,,,,,,100,10,5,5,In several divisions,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,,Query Engine,Data Pipelining,Data Integration,,,,,,,,,,,,,,,,,,,,,,,Insufficient support,,,,,,,,,,,Performance too slow,,,,,,,,,,,,,Good,Good,Good,Satisfactory,Good,Good,Good,Satisfactory,Very poor,Good,Satisfactory,Satisfactory,Rather satisfied,Maybe,Predominantly data-based,Digitization & data-driven enterprise,,Security & privacy,Artificial intelligence & machine learning,,,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,,Israel,Services,Head of business department,Dedicated BI and analytics unit,Yes,,2,Asia and Pacific, ,Services,100 - 250,100 - 2500,Less than 150,Less than 25,10,5 to less than 10%,Amazon RedShift,Business,Less than 25,Less than 25
Asia and Pacific,Israel,Less than 150,Services,Business,Amazon RedShift,Amazon RedShift,1.0.37176,Scalability,,,Innovative strength of the vendor,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,,Ease of use for technical users,,Integration into existing IT operations,,,,,,,,,,,,,,,100,10,5,5,In several divisions,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,,Query Engine,Data Pipelining,Data Integration,,,,,,,,,,,,,,,,,,,,,,,Insufficient support,,,,,,,,,,,Performance too slow,,,,,,,,,,,,,Good,Good,Good,Satisfactory,Good,Good,Good,Satisfactory,Very poor,Good,Satisfactory,Satisfactory,Rather satisfied,Maybe,Predominantly data-based,Digitization & data-driven enterprise,,Security & privacy,Artificial intelligence & machine learning,,,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,,Israel,Services,Head of business department,Dedicated BI and analytics unit,Yes,,2,Asia and Pacific, ,Services,100 - 250,100 - 2500,Less than 150,Less than 25,10,5 to less than 10%,Amazon RedShift,Business,Less than 25,Less than 25
Asia and Pacific,Israel,Less than 150,Services,Business,Amazon RedShift,Amazon RedShift,1.0.37176,Scalability,,,Innovative strength of the vendor,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,,Ease of use for technical users,,Integration into existing IT operations,,,,,,,,,,,,,,,100,10,5,5,In several divisions,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,,Query Engine,Data Pipelining,Data Integration,,,,,,,,,,,,,,,,,,,,,,,Insufficient support,,,,,,,,,,,Performance too slow,,,,,,,,,,,,,Good,Good,Good,Satisfactory,Good,Good,Good,Satisfactory,Very poor,Good,Satisfactory,Satisfactory,Rather satisfied,Maybe,Predominantly data-based,Digitization & data-driven enterprise,,Security & privacy,Artificial intelligence & machine learning,,,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,,Israel,Services,Head of business department,Dedicated BI and analytics unit,Yes,,2,Asia and Pacific, ,Services,100 - 250,100 - 2500,Less than 150,Less than 25,10,5 to less than 10%,Amazon RedShift,Business,Less than 25,Less than 25
North America,United States of America,More than 6000,IT,Business,MS SSIS,Microsoft SSIS,SQL Server Integration Services 2016,,,,,,,,,,,,,,,,,Available know-how in the company,,,,,,Automation of data processes,Connectivity to source and target systems,,,,,,18000,10,5,5,In several divisions,Data Warehousing/BI,,Data Lake,,,Query Engine,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Rather satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,,,Business user enablement,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,United States of America,IT,Person responsible for BI from IT department,IT,Yes,,3,North America, ,IT,10001 -  100000,More than 2500,More than 6000,Less than 25,0.055555556,1 to less than 5%,MS SSIS,Business,Less than 25,Less than 25
North America,United States of America,More than 6000,Manufacturing,Did not respond,Other,Qlik Catalog,Sep 21,,,Openness,Innovative strength of the vendor,,,,,,,,,,,,,,,,,,,,,,,,,,9000,12,5,5,In one division,Data Warehousing/BI,,,,,,,,,,,,,,,,,,,,,Lack of management support,,Organizational issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,,,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,United States of America,Manufacturing,Business analyst,Finance and controlling,Yes,,3,North America, ,Manufacturing,2501 – 10000,More than 2500,More than 6000,Less than 25,0.133333333,1 to less than 5%,Other,,Less than 25,Less than 25
Europe,Germany,More than 6000,Manufacturing,Business,Snowflake CDP,Snowflake CDP,,Scalability,Extensibility of the solution,Openness,Innovative strength of the vendor,Fast reaction time on support tickets,Local presence and good support,,"Flexible, good licensing model/price",,,,,Ease of use for technical users,,Integration into existing IT operations,Convincing performance,,,,,,AI/ML for development/maintenance of data,Automation of data processes,Connectivity to source and target systems,,Range of available functions,,,,11000,20,5,5,In several divisions,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,Data Lake,,Data Storage/Data Provisioning,,,Data Integration,,,,,Data Stewardship/Data Quality Management,Master/Reference Data Management,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Good,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Very satisfied,Definitely,Predominantly data-based,,,Security & privacy,Artificial intelligence & machine learning,Data culture,Business user enablement,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,Manufacturing,Person responsible for departmental BI,Dedicated BI and analytics unit,Yes,,1,Europe,DACH,Manufacturing,10001 -  100000,More than 2500,More than 6000,Less than 25,0.181818182,1 to less than 5%,Snowflake CDP,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,Manufacturing,Business,Snowflake CDP,Snowflake CDP,,Scalability,Extensibility of the solution,Openness,Innovative strength of the vendor,Fast reaction time on support tickets,Local presence and good support,,"Flexible, good licensing model/price",,,,,Ease of use for technical users,,Integration into existing IT operations,Convincing performance,,,,,,AI/ML for development/maintenance of data,Automation of data processes,Connectivity to source and target systems,,Range of available functions,,,,11000,20,5,5,In several divisions,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,Data Lake,,Data Storage/Data Provisioning,,,Data Integration,,,,,Data Stewardship/Data Quality Management,Master/Reference Data Management,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Good,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Very satisfied,Definitely,Predominantly data-based,,,Security & privacy,Artificial intelligence & machine learning,Data culture,Business user enablement,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,Manufacturing,Person responsible for departmental BI,Dedicated BI and analytics unit,Yes,,1,Europe,DACH,Manufacturing,10001 -  100000,More than 2500,More than 6000,Less than 25,0.181818182,1 to less than 5%,Snowflake CDP,Business,Less than 25,Less than 25
North America,United States of America,More than 6000,Manufacturing,Business,Other,Qlik Compose,Sep 21,,,,Innovative strength of the vendor,,,Local presence and quality of support,,,,,,,,,,,,,Adoption rate of market trends in the tool,,,Automation of data processes,,,,,,,10000,30,5,5,In one division,Data Warehousing/BI,,,Data Governance,,,,,,,,,,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacks of key features,,Roadmap does not meet our requirements,,Automation does not meet expectations,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,,,Security & privacy,,,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,United States of America,Manufacturing,Person responsible for departmental BI,Finance and controlling,Yes,,3,North America, ,Manufacturing,2501 – 10000,More than 2500,More than 6000,25 - 75,0.3,1 to less than 5%,Other,Business,Less than 25,Less than 25
Europe,Germany,150 - 500,Services,Business,Synabi D-QUANTUM,Synabi D-QUANTUM,V 4.x,Scalability,Extensibility of the solution,,,,Local presence and good support,,,Good price-performance ratio,,,,,,,Convincing performance,,,Integration into enterprise data processes,,,,,Connectivity to source and target systems,,Range of available functions,Quality of functions,,,250,50,5,5,Company-wide,Data Warehousing/BI,,,Data Governance,,,,,,,,,Data Stewardship/Data Quality Management,,,,,,Data Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Stayed the same,,Slightly increased,Stayed the same,Stayed the same,,,Stayed the same,Germany,Germany,Consulting,Head of business department,,No,No,1,Europe,DACH,Services,100 - 250,100 - 2500,150 - 500,25 - 75,20,15 to less than 20%,Synabi D-QUANTUM,Business,Less than 25,Less than 25
Europe,Germany,501 - 1500,Financial Services,Business,MS SQL Server,MS SQL Server,2022,,,,,,,Local presence and quality of support,,,,,,,,,,Available know-how in the company,,,,,,,,,,,,,1000,50,5,5,In several divisions,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,Data Integration,,,,,,,,,,,,,,Lack of management support,Lack of resources/budget,,Tool does not scale,Unreliable software,,,,,Insufficient support,,,,,,,,,Missing disaster recovery,,Performance too slow,Lacks of key features,,,,,,,,,,,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Neither satisfied nor dissatisfied,Probably not,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,Data culture,,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,,Germany,Banking and finance,Person responsible for BI from IT department,IT,Yes,,1,Europe,DACH,Financial Services,501 - 1000,100 - 2500,501 - 1500,25 - 75,5,1 to less than 5%,MS SQL Server,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,Other,Business,SAP BW/4HANA,SAP BW/4HANA,,Scalability,Extensibility of the solution,,Innovative strength of the vendor,Fast reaction time on support tickets,,,,,,Integrated end-to-end platform,Ease of use for business users,Ease of use for technical users,,Integration into existing IT operations,,Available know-how in the company,Reusability/metadata-driven development,Integration into enterprise data processes,,Product roadmap,,,Connectivity to source and target systems,,,,,,9000,100,5,5,Company-wide,Data Warehousing/BI,,,Data Governance,,,,Data Integration,Data Preparation for Business Users,,,,,Master/Reference Data Management,Self-Service Analytics,,,,,,,,,Organizational issues,,,,,,,Insufficient support,,,,,,,,,,,,Lacks of key features,,,Solution implementation needs workarounds,,,,,,,,,Satisfactory,Satisfactory,Satisfactory,Excellent,Excellent,Good,Good,Good,Satisfactory,Good,Good,Good,Rather satisfied,Probably,Predominantly data-based,,,Security & privacy,Artificial intelligence & machine learning,Data culture,,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly decreased,Slightly increased,Slightly decreased,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Strongly increased,Slightly decreased,Slightly decreased,Germany,Germany,Other,Person responsible for BI from IT department,,Yes,,1,Europe,DACH,Other,2501 – 10000,More than 2500,More than 6000,76 - 300,1.111111111,1 to less than 5%,SAP BW/4HANA,Business,Less than 25,Less than 25
Europe,Austria,501 - 1500,Financial Services,Did not respond,dataspot.,dataspot.,03.02.2005,Scalability,,Openness,Innovative strength of the vendor,Fast reaction time on support tickets,Local presence and good support,Local presence and quality of support,,Good price-performance ratio,,,Ease of use for business users,Ease of use for technical users,,,Convincing performance,,Reusability/metadata-driven development,Integration into enterprise data processes,,Product roadmap,,Automation of data processes,Connectivity to source and target systems,,Range of available functions,Quality of functions,,Others,1000,150,5,5,Company-wide,Data Warehousing/BI,,Data Lake,Data Governance,,,,,Data Preparation for Business Users,Data Virtualization,Cloud Integration,,Data Stewardship/Data Quality Management,Master/Reference Data Management,,Data Discovery,,,Data Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,,Security & privacy,,Data culture,,Slightly increased,Slightly increased,Stayed the same,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,,Austria,Banking and finance,Business analyst,Other,Yes,No,1,Europe,DACH,Financial Services,501 - 1000,100 - 2500,501 - 1500,76 - 300,15,10 to less than 15%,dataspot.,,Less than 25,Less than 25
North America,United States of America,1501 - 6000,Transport,Did not respond,Oracle Database,Oracle Database,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Others,2000,150,5,5,Company-wide,,,,,Data Storage/Data Provisioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Others,Very poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Neither satisfied nor dissatisfied,Maybe,Predominantly based on gut feeling,,"Distributed data, computing & decision-making",,,,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,United States of America,Transportation and logistics,"Other, please specify:",R&D,Yes,,3,North America, ,Transport,1001 – 2500,100 - 2500,1501 - 6000,76 - 300,7.5,5 to less than 10%,Oracle Database,,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Financial Services,Business,Synabi D-QUANTUM,Synabi D-QUANTUM,v4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,6000,150,5,5,Company-wide,,,,Data Governance,,,,,,,,,Data Stewardship/Data Quality Management,,,,,,Data Catalog,,,,,,,,Customization of tool is limited,,,,,,,,,Lack of internal know-how,Lack of usability,,,,,,,,,,,Data access is limited,,,,,,,Good,Don't know / not available,Excellent,Good,Good,Good,Poor,Satisfactory,Don't know / not available,Satisfactory,Satisfactory,Good,Rather satisfied,Probably,Predominantly data-based,,,Security & privacy,,,,,,,Stayed the same,Stayed the same,,,,,,,,,,,,,,Germany,Banking and finance,Data steward,Other,Yes,Yes,1,Europe,DACH,Financial Services,2501 – 10000,More than 2500,1501 - 6000,76 - 300,2.5,1 to less than 5%,Synabi D-QUANTUM,Business,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Manufacturing,Business,SAP DWC,SAP DWC,2022.4.65,,Extensibility of the solution,Openness,,Fast reaction time on support tickets,,,,,,,Ease of use for business users,Ease of use for technical users,,Integration into existing IT operations,,Available know-how in the company,,Integration into enterprise data processes,,Product roadmap,,,Connectivity to source and target systems,,,,,,3000,400,5,5,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,,Data Preparation for Business Users,,,,,,,,,,,,,,,,,Unreliable software,,,Product did not meet expectations,Cannot process data adequately,,,,,Lack of external know-how,,,,,,,,,,,,,,,,,,,,Satisfactory,Good,Satisfactory,Good,Poor,Satisfactory,Excellent,Good,Satisfactory,Satisfactory,Good,Good,Rather satisfied,Maybe,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,Business user enablement,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,,Germany,Manufacturing,Person responsible for BI from IT department,Finance and controlling,Yes,No,1,Europe,DACH,Manufacturing,2501 – 10000,More than 2500,1501 - 6000,More than 300,13.33333333,10 to less than 15%,SAP DWC,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,IT,Business,SAP BW/4HANA,SAP BW/4HANA,,,Extensibility of the solution,,,Fast reaction time on support tickets,,Local presence and quality of support,,,,Integrated end-to-end platform,,,,Integration into existing IT operations,Convincing performance,Available know-how in the company,,Integration into enterprise data processes,,,,,Connectivity to source and target systems,,Range of available functions,Quality of functions,,,9000,750,5,5,In several divisions,Data Warehousing/BI,,,,,,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,,,Self-Service Analytics,Data Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Don't know / not available,Good,Don't know / not available,Good,Excellent,Good,Good,Don't know / not available,Don't know / not available,Good,Excellent,Don't know / not available,Rather satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,,,Business user enablement,Slightly increased,Stayed the same,Stayed the same,,,Slightly increased,,,Strongly increased,,,,,,,,,,Germany,IT,Head of business department,Finance and controlling,Yes,,1,Europe,DACH,IT,2501 – 10000,More than 2500,More than 6000,More than 300,8.333333333,5 to less than 10%,SAP BW/4HANA,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,Manufacturing,Did not respond,SAP BW/4HANA,SAP BW/4HANA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,12000,1000,5,5,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,Good,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Rather satisfied,Probably,,Digitization & data-driven enterprise,,Security & privacy,,,Business user enablement,,Slightly decreased,Slightly increased,Slightly increased,,Slightly increased,,,Slightly increased,,,,,,,,,,Germany,Construction,"Other, please specify:",Finance and controlling,Yes,Yes,1,Europe,DACH,Manufacturing,10001 -  100000,More than 2500,More than 6000,More than 300,8.333333333,5 to less than 10%,SAP BW/4HANA,,Less than 25,Less than 25
North America,United States of America,1501 - 6000,Transport,Business,SAP BW/4HANA,SAP BW/4HANA,2.0 SP6,Scalability,Extensibility of the solution,,,,,,,,,Integrated end-to-end platform,,Ease of use for technical users,,Integration into existing IT operations,Convincing performance,,,Integration into enterprise data processes,,Product roadmap,,,,Supported data access methodologies,Range of available functions,,,,1600,1200,5,5,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,Query Engine,,Data Integration,Data Preparation for Business Users,Data Virtualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Very satisfied,Definitely,Predominantly data-based,,,Security & privacy,,,,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Stayed the same,Stayed the same,Slightly increased,,United States of America,Transportation and logistics,Enterprise architect,IT,Yes,,3,North America, ,Transport,1001 – 2500,100 - 2500,1501 - 6000,More than 300,75,50 to less than 75%,SAP BW/4HANA,Business,Less than 25,Less than 25
Europe,United Kingdom,1501 - 6000,Financial Services,Business,Other,Informatica AXON Data Governance,10.4,Scalability,Extensibility of the solution,,Innovative strength of the vendor,,,,,,,Integrated end-to-end platform,Ease of use for business users,,,,,,,,,,,,,,Range of available functions,Quality of functions,,,4500,1200,5,5,Company-wide,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,Data Governance,Data Storage/Data Provisioning,,Data Pipelining,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,Data Stewardship/Data Quality Management,Master/Reference Data Management,Self-Service Analytics,Data Discovery,A Holistic Data Platform,,Data Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,,Data culture,Business user enablement,Strongly increased,Stayed the same,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,Strongly increased,Stayed the same,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,,United Kingdom,Banking and finance,Chief data officer,Other,Yes,No,1,Europe,United Kingdom & Ireland,Financial Services,2501 – 10000,More than 2500,1501 - 6000,More than 300,26.66666667,20 to less than 30%,Other,Business,Less than 25,Less than 25
South America,Costa Rica,150 - 500,Financial Services,Business,MS SSIS,Microsoft SSIS,SQL 2019,,Extensibility of the solution,,,,,,"Flexible, good licensing model/price",,,,,,,,,,,,,,,,,,,,,,350,5,7,5,In several divisions,Data Warehousing/BI,,,,,Query Engine,,Data Integration,,,,Data Warehouse Automation,Data Stewardship/Data Quality Management,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,,,,Stayed the same,Strongly increased,Strongly increased,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Stayed the same,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,,Costa Rica,Banking and finance,Data engineer/data manager,Dedicated BI and analytics unit,Yes,,4,South America, ,Financial Services,251 - 500,100 - 2500,150 - 500,Less than 25,1.428571429,1 to less than 5%,MS SSIS,Business,Less than 25,Less than 25
Europe,Germany,501 - 1500,Retail/Wholesale,Business,Exasol,Exasol,7.1,Scalability,Extensibility of the solution,,Innovative strength of the vendor,Fast reaction time on support tickets,,Local presence and quality of support,,,Prebuilt content,,,Ease of use for technical users,,,Convincing performance,,,Integration into enterprise data processes,,,,,,,Range of available functions,Quality of functions,,,1000,120,7,5,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,Query Engine,Data Pipelining,Data Integration,,,,,,,Self-Service Analytics,Data Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,,,,Stayed the same,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Strongly increased,,Germany,Retail / Wholesale / Trade,Person responsible for BI from IT department,Dedicated BI and analytics unit,Yes,,1,Europe,DACH,Retail/Wholesale,501 - 1000,100 - 2500,501 - 1500,76 - 300,12,10 to less than 15%,Exasol,Business,Less than 25,Less than 25
