Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_27211,Q_28211,Q_29211,Q_30211,Q_31211,Q_12211,Q_13211,Q_15211,Q_18211,Q_19211,Q_23211,Q_32_1211,Q_33_1211,Q_24211,Q_34211,Q_35211,Q_26211,Q_36211,Q_28_999211,Q_58214,Q_51214,Q_59214,Q_46214,Q_60214,Q_884214,Q_61214,Q_40214,Q_41214,Q_42214,Q_62214,Q_45214,Q_43214,Q_44214,Q_65214,Q_66214,Q_54214,Q_67214,Q_56_999214,Q_101_1215,Q_84215,Q_85215,Q_86215,Q_87215,Q_102_1215,Q_88215,Q_89215,Q_90215,Q_91215,Q_93215,Q_94215,Q_95215,Q_96215,Q_103_1215,Q_104_1215,Q_105_1215,Q_97215,Q_98_999215,Q_101218,Q_112_1219,Q_104223,Q_105221,Q_103217,Q_113_1224,Q_114220,Q_115222,Q_116225,Q_886216,Q_887226,Q_111213,Q_112212,Q_906230,Q_907230,Q_908230,Q_909230,Q_910230,Q_911230,Q_912230,Q_913230,Q_904230,Q_914231,Q_920234,Q_921234,Q_922234,Q_923234,Q_924234,Q_925234,Q_926234,Q_927234,Q_928234,Q_929234,Q_932234,Q_930234,Q_937233,Q_938233,Q_939233,Q_940233,Q_941233,Q_942233,Q_943233,Q_944233,Q_945233,Q_946233,Q_947233,Q_949232,Q_950,Q_951,Q_952,Q_955,Q_956,Q_957,Q_958,Q_959,Q_960,Q_961,Q_346,Q_351,Q70_1201,Q_352,Q_354207,Q_356202,Q70_regions208,Industry_bundlednew203,Q32_GROUP205,Q33_discrete204,Q_3_bundled210,Q33Q32206
Europe,Germany,More than 6000,Manufacturing,IT,SAP HANA,,Good reputation of the product/vendor,,,,,,,Connectivity to source and target systems,Openness of the tool,,,Ease of use for business users,,Existing know-how in the company,,Existing relationship with the vendor,Know-how available on the market,,,,Data Warehousing/BI,,,,,Data Integration,,Data Virtualization,,,,,,,,,,Lack of maturity in the enterprise,Organizational issues,,,,,,,,,,,,Inflexible licensing model,,,,,,Good,Good,Poor,Good,Excellent,Satisfactory,Good,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Transformation to a data-driven company,New business models,Advanced analytics,Business intelligence,Regulatory/compliance requirements,Data protection,Use of artificial intelligence,,,"$500,000 - $999,999",Master data/Data quality management,,Empowerment of business users,Data democratization,,Self-service analytics/BI,Data warehouse modernization,,,,,,Defining a data & analytics strategy,Creating a data culture,Building competencies,Establishing organization for data & analytics,Modernizing data & analytics architectures,Acquiring new technology,,Implementing data & analytics projects,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,Data engineer/data manager,IT,Europe,Manufacturing,More than 6000,Less than 25,SAP HANA,1 to less than 5%
Europe,Germany,500 - 1500,Manufacturing,IT,SAP HANA,,Good reputation of the product/vendor,,,,Convincing performance,,Functional scope,Connectivity to source and target systems,,,,,,,,,,,Holistic Data Platform,Data Lake,Data Warehousing/BI,,Data Storage/Data Provisioning,,,,Data Preparation for Business Users,,,,,,,,Data Discovery,,,,,,Lack of use cases/quick-win scenarios,,Lack of external know-how,,,,,,,,,,,,,,Good,Good,Satisfactory,Excellent,Satisfactory,Poor,Good,Excellent,Excellent,Satisfactory,Good,Rather satisfied,Definitely,,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",,,,,,Self-service analytics/BI,Data warehouse modernization,,,Data & analytics platforms,,,Defining a data & analytics strategy,,,,Modernizing data & analytics architectures,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,Business analyst,IT,Europe,Manufacturing,500 - 1500,Less than 25,SAP HANA,1 to less than 5%
Europe,Germany,500 - 1500,Utilities,Business,SAP HANA,,Good reputation of the product/vendor,Vendor stability/transparency,,,,Scalability,Functional scope,Connectivity to source and target systems,Openness of the tool,Provision/deployment model,,,,Existing know-how in the company,,Existing relationship with the vendor,Know-how available on the market,,,,Data Warehousing/BI,,Data Storage/Data Provisioning,Query Engine,,Data Integration,Data Preparation for Business Users,Data Virtualization,Cloud Integration,,,,,Self-Service Analytics,,,,,,,,,,,,,,High complexity in operation,High complexity in development,,Inflexible licensing model,The product did not meet our expectations,Product difficult for business users to operate,,,,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Good,Satisfactory,Good,Poor,Satisfactory,Satisfactory,Partly satisfied/partly dissatisfied,Perhaps,Transformation to a data-driven company,New business models,Advanced analytics,Business intelligence,,,,,,"$100,000 - $499,999",Master data/Data quality management,Data-driven culture,Empowerment of business users,,,Self-service analytics/BI,,Artificial intelligence,,,,,Defining a data & analytics strategy,Creating a data culture,Building competencies,Establishing organization for data & analytics,,,,Implementing data & analytics projects,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Germany,Utilities,Member of cross-functional BI/analytics team,Finance and controlling,Europe,Utilities,500 - 1500,More than 300,SAP HANA,40 to less than 50%
Europe,Germany,More than 6000,Manufacturing,IT,SAP HANA,,,,,,Convincing performance,,Functional scope,Connectivity to source and target systems,,,,,,,,,,,,,Data Warehousing/BI,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Good,Poor,Excellent,Very poor,Satisfactory,Satisfactory,Good,Poor,Satisfactory,Good,Rather satisfied,Definitely,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",,Data-driven culture,,,,Self-service analytics/BI,,,,Data & analytics platforms,,,Defining a data & analytics strategy,,,,,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,Person responsible for BI from IT department,IT,Europe,Manufacturing,More than 6000,More than 300,SAP HANA,1 to less than 5%
Europe,Turkey,500 - 1500,Utilities,IT,SAP HANA,,,,,,Convincing performance,Scalability,,,,,,,,Existing know-how in the company,Recommendation/chosen after selection,Existing relationship with the vendor,,Other,Holistic Data Platform,Data Lake,Data Warehousing/BI,,Data Storage/Data Provisioning,,,,,,,,,Master/Reference Data Management,,,,,,Lack of maturity in the enterprise,,,Lack of use cases/quick-win scenarios,,,,,,,,High complexity in development,,,,Product difficult for business users to operate,,,,Satisfactory,Satisfactory,Poor,Good,Good,Satisfactory,Poor,Satisfactory,Satisfactory,Don't know/not available,Satisfactory,Rather satisfied,Probably,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",,Data-driven culture,Empowerment of business users,,,Self-service analytics/BI,,,,Data & analytics platforms,,,,Creating a data culture,Building competencies,Establishing organization for data & analytics,,,,,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Turkey,Utilities,CIO/IT management,IT,Europe,Utilities,500 - 1500,More than 300,SAP HANA,50 to less than 75%
North America,United States of America,More than 6000,Transport,Business,SAP HANA,Innovative strength of the vendor,Good reputation of the product/vendor,,,,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,,,,Ease of use for business users,,Existing know-how in the company,,Existing relationship with the vendor,,,,,Data Warehousing/BI,Data Governance,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,Data Virtualization,,Data Warehouse Automation,,,,Self-Service Analytics,Data Discovery,,,,,,,,,,,,,High complexity in operation,High complexity in development,,,,Product difficult for business users to operate,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Very satisfied,Definitely,,,Advanced analytics,Business intelligence,Regulatory/compliance requirements,Data protection,,Protection from external effects,,,Master data/Data quality management,Data-driven culture,Empowerment of business users,,Data governance,Self-service analytics/BI,Data warehouse modernization,,,Data & analytics platforms,,,Defining a data & analytics strategy,,,Establishing organization for data & analytics,Modernizing data & analytics architectures,,,,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,United States of America,United States of America,Transportation and logistics,Business analyst,Dedicated BI and analytics unit,North America,Transport,More than 6000,More than 300,SAP HANA,10 to less than 15%
Europe,Germany,More than 6000,Services,Business,SAP HANA,Innovative strength of the vendor,,,,Solution met our requirements,,,,,,,,,,,Recommendation/chosen after selection,,,,,,Data Warehousing/BI,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,"Query, load, processing performance too slow",,,,,,,,,,Satisfactory,Poor,Very poor,Very poor,Good,Very poor,Very poor,Poor,Poor,Poor,Very poor,Very dissatisfied,Definitely not,Transformation to a data-driven company,,,Business intelligence,,Data protection,,,,"$500,000 - $999,999",Master data/Data quality management,,,Data democratization,,Self-service analytics/BI,Data warehouse modernization,,,,,,,,,,Modernizing data & analytics architectures,,Larger budgets for external service providers,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Healthcare,Person responsible for BI from IT department,Dedicated BI and analytics unit,Europe,Services,More than 6000,76 - 300,SAP HANA,1 to less than 5%
Europe,Germany,1500 - 6000,Services,Business,SAP HANA,,,,,,,,,,,,,,,,,Existing relationship with the vendor,,,,,,,Data Storage/Data Provisioning,,,,,,,,,,,,,,,Lack of maturity in the enterprise,,,,,,,,,,,,,,,,,,,Satisfactory,Good,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,Partly satisfied/partly dissatisfied,Perhaps,,,,Business intelligence,,,,,,"$500,000 - $999,999",,,Empowerment of business users,,,Self-service analytics/BI,,,,,,,Defining a data & analytics strategy,,,Establishing organization for data & analytics,Modernizing data & analytics architectures,,Larger budgets for external service providers,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Services,Person responsible for BI from IT department,Finance and controlling,Europe,Services,1500 - 6000,More than 300,SAP HANA,5 to less than 10%
Europe,Germany,More than 6000,Manufacturing,Did not respond,SAP HANA,,,,,,,Scalability,,,,,,Ease of use for business users,,,,,,,,,,,,,,,,,Cloud Integration,,,,Advanced Analytics/Machine Learning/AI,,,,,,,,Lack of use cases/quick-win scenarios,,,,,,"Query, load, processing performance too slow",,,,,,,,,,Satisfactory,Good,Satisfactory,Good,Satisfactory,Good,Good,Good,Satisfactory,Poor,Poor,Rather satisfied,Probably not,,,,Business intelligence,,,,,,"$500,000 - $999,999",,,,Data democratization,,,,,,,,,,,Building competencies,,,Acquiring new technology,,,,,,Medium,not quoted,quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,Bosch,Germany,Germany,Manufacturing,Data scientist,,Europe,Manufacturing,More than 6000,More than 300,SAP HANA,
Europe,Germany,Less than 150,Retail/Wholesale,Business,SAP HANA,,,,,,,,,Connectivity to source and target systems,,,,,,,,,,,,,Data Warehousing/BI,,,,,,,,,Data Warehouse Automation,,Master/Reference Data Management,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Partly satisfied/partly dissatisfied,Probably,,New business models,,Business intelligence,,,,,,"Less than $100,000",Master data/Data quality management,,,,Data governance,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,,,,,,,,,Acquiring new technology,,,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Germany,Retail / Wholesale / Trade,Person responsible for departmental BI,Finance and controlling,Europe,Retail/Wholesale,Less than 150,Less than 25,SAP HANA,5 to less than 10%
North America,United States of America,More than 6000,Services,IT,SAP HANA,,,Vendor stability/transparency,,,Convincing performance,Scalability,,Connectivity to source and target systems,,,,,,,,,,,Holistic Data Platform,,Data Warehousing/BI,,Data Storage/Data Provisioning,Query Engine,,Data Integration,,,,,,,,,,Data Fabric,,,,,Lack of use cases/quick-win scenarios,,,,,,,,,,,,,,,,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Transformation to a data-driven company,,Advanced analytics,,,,Use of artificial intelligence,,,"$100,000 - $499,999",Master data/Data quality management,Data-driven culture,,Data democratization,Data governance,Self-service analytics/BI,,Artificial intelligence,,,,,,,Building competencies,Establishing organization for data & analytics,,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,United States of America,Healthcare,Data scientist,IT,North America,Services,More than 6000,More than 300,SAP HANA,30 to less than 40%
Europe,Switzerland,1500 - 6000,Utilities,Business,SAP HANA,,Good reputation of the product/vendor,,,,Convincing performance,,Functional scope,,,,,,,,,,,,,,Data Warehousing/BI,,,,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,High complexity in operation,,,,,Product difficult for business users to operate,,,,Good,Satisfactory,Very poor,Good,Satisfactory,Good,Good,Excellent,Satisfactory,Good,Very poor,Partly satisfied/partly dissatisfied,Probably,,,,,,Data protection,,,,$1 million or more,,Data-driven culture,,,Data governance,,,,Cloud for data & analytics,,,,,Creating a data culture,Building competencies,,,Acquiring new technology,,,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Switzerland,Utilities,Line of business employee,Other,Europe,Utilities,1500 - 6000,More than 300,SAP HANA,50 to less than 75%
Asia and Pacific,India,1500 - 6000,Manufacturing,Did not respond,SAP HANA,,Good reputation of the product/vendor,,,,,,Functional scope,,,,Ease of use for technical users,Ease of use for business users,,,,,,,,,,Data Governance,,,,,Data Preparation for Business Users,Data Virtualization,Cloud Integration,Data Warehouse Automation,,,Advanced Analytics/Machine Learning/AI,Self-Service Analytics,,,,,,,,,,,,,,High complexity in operation,,Unreliable software,,,,,,,Poor,Satisfactory,Very poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Good,Satisfactory,Rather satisfied,Probably,,New business models,Advanced analytics,,,Data protection,Use of artificial intelligence,,,"Less than $100,000",Master data/Data quality management,Data-driven culture,,,Data governance,Self-service analytics/BI,,Artificial intelligence,,,,,,Creating a data culture,,,,Acquiring new technology,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,AWL,India,India,Manufacturing,Head of business department,,Asia and Pacific,Manufacturing,1500 - 6000,More than 300,SAP HANA,50 to less than 75%
Europe,Germany,More than 6000,Manufacturing,IT,SAP HANA,,,,,,Convincing performance,,Functional scope,Connectivity to source and target systems,,,,,,Existing know-how in the company,,Existing relationship with the vendor,,,,,Data Warehousing/BI,,Data Storage/Data Provisioning,,,,Data Preparation for Business Users,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Excellent,Poor,Good,Good,Good,Good,Good,Good,Good,Good,Rather satisfied,Probably,Transformation to a data-driven company,,,,,Data protection,,,,$1 million or more,Master data/Data quality management,Data-driven culture,,,,,,,,,,,,Creating a data culture,,Establishing organization for data & analytics,,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,IT employee,IT,Europe,Manufacturing,More than 6000,More than 300,SAP HANA,40 to less than 50%
Europe,Germany,More than 6000,Manufacturing,IT,SAP HANA,,Good reputation of the product/vendor,,,,,,,Connectivity to source and target systems,Openness of the tool,,,Ease of use for business users,,Existing know-how in the company,,Existing relationship with the vendor,Know-how available on the market,,,,Data Warehousing/BI,,,,,Data Integration,,Data Virtualization,,,,,,,,,,Lack of maturity in the enterprise,Organizational issues,,,,,,,,,,,,Inflexible licensing model,,,,,,Good,Good,Poor,Good,Excellent,Satisfactory,Good,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Transformation to a data-driven company,New business models,Advanced analytics,Business intelligence,Regulatory/compliance requirements,Data protection,Use of artificial intelligence,,,"$500,000 - $999,999",Master data/Data quality management,,Empowerment of business users,Data democratization,,Self-service analytics/BI,Data warehouse modernization,,,,,,Defining a data & analytics strategy,Creating a data culture,Building competencies,Establishing organization for data & analytics,Modernizing data & analytics architectures,Acquiring new technology,,Implementing data & analytics projects,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,Data engineer/data manager,IT,Europe,Manufacturing,More than 6000,Less than 25,SAP HANA,1 to less than 5%
Europe,Germany,500 - 1500,Manufacturing,IT,SAP HANA,,Good reputation of the product/vendor,,,,Convincing performance,,Functional scope,Connectivity to source and target systems,,,,,,,,,,,Holistic Data Platform,Data Lake,Data Warehousing/BI,,Data Storage/Data Provisioning,,,,Data Preparation for Business Users,,,,,,,,Data Discovery,,,,,,Lack of use cases/quick-win scenarios,,Lack of external know-how,,,,,,,,,,,,,,Good,Good,Satisfactory,Excellent,Satisfactory,Poor,Good,Excellent,Excellent,Satisfactory,Good,Rather satisfied,Definitely,,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",,,,,,Self-service analytics/BI,Data warehouse modernization,,,Data & analytics platforms,,,Defining a data & analytics strategy,,,,Modernizing data & analytics architectures,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,Business analyst,IT,Europe,Manufacturing,500 - 1500,Less than 25,SAP HANA,1 to less than 5%
Europe,Germany,500 - 1500,Utilities,Business,SAP HANA,,Good reputation of the product/vendor,Vendor stability/transparency,,,,Scalability,Functional scope,Connectivity to source and target systems,Openness of the tool,Provision/deployment model,,,,Existing know-how in the company,,Existing relationship with the vendor,Know-how available on the market,,,,Data Warehousing/BI,,Data Storage/Data Provisioning,Query Engine,,Data Integration,Data Preparation for Business Users,Data Virtualization,Cloud Integration,,,,,Self-Service Analytics,,,,,,,,,,,,,,High complexity in operation,High complexity in development,,Inflexible licensing model,The product did not meet our expectations,Product difficult for business users to operate,,,,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Good,Satisfactory,Good,Poor,Satisfactory,Satisfactory,Partly satisfied/partly dissatisfied,Perhaps,Transformation to a data-driven company,New business models,Advanced analytics,Business intelligence,,,,,,"$100,000 - $499,999",Master data/Data quality management,Data-driven culture,Empowerment of business users,,,Self-service analytics/BI,,Artificial intelligence,,,,,Defining a data & analytics strategy,Creating a data culture,Building competencies,Establishing organization for data & analytics,,,,Implementing data & analytics projects,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Germany,Utilities,Member of cross-functional BI/analytics team,Finance and controlling,Europe,Utilities,500 - 1500,More than 300,SAP HANA,40 to less than 50%
Europe,Germany,More than 6000,Manufacturing,IT,SAP HANA,,,,,,Convincing performance,,Functional scope,Connectivity to source and target systems,,,,,,,,,,,,,Data Warehousing/BI,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Good,Poor,Excellent,Very poor,Satisfactory,Satisfactory,Good,Poor,Satisfactory,Good,Rather satisfied,Definitely,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",,Data-driven culture,,,,Self-service analytics/BI,,,,Data & analytics platforms,,,Defining a data & analytics strategy,,,,,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,Person responsible for BI from IT department,IT,Europe,Manufacturing,More than 6000,More than 300,SAP HANA,1 to less than 5%
Europe,Germany,Less than 150,Retail/Wholesale,Business,SAP HANA,,,,,,,,,Connectivity to source and target systems,,,,,,,,,,,,,Data Warehousing/BI,,,,,,,,,Data Warehouse Automation,,Master/Reference Data Management,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Partly satisfied/partly dissatisfied,Probably,,New business models,,Business intelligence,,,,,,"Less than $100,000",Master data/Data quality management,,,,Data governance,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,,,,,,,,,Acquiring new technology,,,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Germany,Retail / Wholesale / Trade,Person responsible for departmental BI,Finance and controlling,Europe,Retail/Wholesale,Less than 150,Less than 25,SAP HANA,5 to less than 10%
Europe,Germany,500 - 1500,Manufacturing,IT,SAP HANA,,Good reputation of the product/vendor,,,,Convincing performance,,Functional scope,Connectivity to source and target systems,,,,,,,,,,,Holistic Data Platform,Data Lake,Data Warehousing/BI,,Data Storage/Data Provisioning,,,,Data Preparation for Business Users,,,,,,,,Data Discovery,,,,,,Lack of use cases/quick-win scenarios,,Lack of external know-how,,,,,,,,,,,,,,Good,Good,Satisfactory,Excellent,Satisfactory,Poor,Good,Excellent,Excellent,Satisfactory,Good,Rather satisfied,Definitely,,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",,,,,,Self-service analytics/BI,Data warehouse modernization,,,Data & analytics platforms,,,Defining a data & analytics strategy,,,,Modernizing data & analytics architectures,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,Business analyst,IT,Europe,Manufacturing,500 - 1500,Less than 25,SAP HANA,1 to less than 5%
Europe,Germany,150 - 500,Public sector and Education,IT,Other,,,,,,Convincing performance,,Functional scope,,Openness of the tool,,,,,,,,,,,,Data Warehousing/BI,,,,,Data Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Don't know/not available,Good,Satisfactory,Excellent,Satisfactory,Don't know/not available,Good,Good,Good,Don't know/not available,Good,Rather satisfied,Probably,,,,Business intelligence,,,,,,,,,,,,,Data warehouse modernization,,,,,,,,,,,,,Implementing data & analytics projects,,,,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Germany,Public sector,Data engineer/data manager,IT,Europe,Public sector and Education,150 - 500,Less than 25,Other,1 to less than 5%
Europe,Germany,1500 - 6000,Financial Services,Business,Other,,Good reputation of the product/vendor,,,Solution met our requirements,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,,,,,,,Recommendation/chosen after selection,,,,Holistic Data Platform,Data Lake,Data Warehousing/BI,Data Governance,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,Data Stewardship/Data Quality Management,Master/Reference Data Management,Advanced Analytics/Machine Learning/AI,Self-Service Analytics,Data Discovery,,,Lack of maturity in the enterprise,Organizational issues,Company policy/lack of resources/budget,,,,,,,,,,,,,,,,,Good,Good,Good,Excellent,Good,Good,Good,Excellent,Good,Don't know/not available,Good,Very satisfied,Definitely,Transformation to a data-driven company,,Advanced analytics,Business intelligence,Regulatory/compliance requirements,,,,,,Master data/Data quality management,,,,Data governance,Self-service analytics/BI,Data warehouse modernization,,,Data & analytics platforms,Data security/data privacy,,Defining a data & analytics strategy,,,Establishing organization for data & analytics,,,,,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Insurance,Data scientist,Marketing,Europe,Financial Services,1500 - 6000,25 - 75,Other,1 to less than 5%
Europe,Germany,More than 6000,Financial Services,Business,Other,,,Vendor stability/transparency,,,,,,,,,,,,Existing know-how in the company,,Existing relationship with the vendor,,,,Data Lake,Data Warehousing/BI,Data Governance,Data Storage/Data Provisioning,,Data Pipelining,Data Integration,,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Good,Satisfactory,Good,Good,Good,Satisfactory,Excellent,Good,Satisfactory,Satisfactory,Rather satisfied,Probably,,,,Business intelligence,,,,,,$1 million or more,Master data/Data quality management,,,,Data governance,,Data warehouse modernization,,,Data & analytics platforms,,,,,,,Modernizing data & analytics architectures,,Larger budgets for external service providers,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Insurance,Enterprise architect,Other,Europe,Financial Services,More than 6000,25 - 75,Other,1 to less than 5%
Europe,Germany,150 - 500,Financial Services,Did not respond,Other,,Good reputation of the product/vendor,,,,,Scalability,,Connectivity to source and target systems,,,,,,Existing know-how in the company,,,,,,,Data Warehousing/BI,,,,,Data Integration,Data Preparation for Business Users,,Cloud Integration,Data Warehouse Automation,,,,,,,,,Organizational issues,Company policy/lack of resources/budget,,,,,,,,,,,,,,,,,Good,Good,Poor,Good,Good,Good,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Rather satisfied,Probably,,,Advanced analytics,Business intelligence,Regulatory/compliance requirements,,,,,"$100,000 - $499,999",,,,,Data governance,,Data warehouse modernization,,Cloud for data & analytics,Data & analytics platforms,,,,,,,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,PMEConsult Mehnert,Germany,Germany,Banking and finance,CEO/board member,,Europe,Financial Services,150 - 500,25 - 75,Other,15 to less than 20%
South America,Brazil,500 - 1500,Public sector and Education,IT,Other,,Good reputation of the product/vendor,,,,,,Functional scope,,,,,,,Existing know-how in the company,,Existing relationship with the vendor,,,,,Data Warehousing/BI,,,,,,,,,,,,Advanced Analytics/Machine Learning/AI,Self-Service Analytics,,,,Lack of maturity in the enterprise,Organizational issues,,,,,,,,"Query, load, processing performance too slow",High complexity in operation,,Unreliable software,,,,Insufficient speed and/or quality of support,,,Satisfactory,Good,Poor,Poor,Good,Satisfactory,Good,Good,Satisfactory,Satisfactory,Satisfactory,Partly satisfied/partly dissatisfied,Perhaps,Transformation to a data-driven company,,Advanced analytics,Business intelligence,Regulatory/compliance requirements,,,,,"Less than $100,000",Master data/Data quality management,Data-driven culture,Empowerment of business users,Data democratization,,Self-service analytics/BI,,Artificial intelligence,,Data & analytics platforms,,,,Creating a data culture,Building competencies,Establishing organization for data & analytics,,,,Implementing data & analytics projects,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Brazil,Public sector,Person responsible for BI from IT department,IT,South America,Public sector and Education,500 - 1500,76 - 300,Other,15 to less than 20%
Europe,Germany,More than 6000,Services,IT,Other,Innovative strength of the vendor,Good reputation of the product/vendor,,,,Convincing performance,Scalability,Functional scope,,Openness of the tool,,,Ease of use for business users,,Existing know-how in the company,,,,,Holistic Data Platform,Data Lake,,,,,Data Pipelining,,,,,,,,Advanced Analytics/Machine Learning/AI,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Excellent,Satisfactory,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Very satisfied,Definitely,Transformation to a data-driven company,New business models,Advanced analytics,,,,Use of artificial intelligence,,,"$500,000 - $999,999",,Data-driven culture,Empowerment of business users,Data democratization,Data governance,Self-service analytics/BI,,,,Data & analytics platforms,Data security/data privacy,,Defining a data & analytics strategy,Creating a data culture,Building competencies,Establishing organization for data & analytics,Modernizing data & analytics architectures,Acquiring new technology,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Healthcare,Person responsible for BI from IT department,IT,Europe,Services,More than 6000,76 - 300,Other,1 to less than 5%
